d,s,noise,rep,seed,notears_edges,exact_edges,greedy_edges,false_positive_removals,true_positive_removals,candidate_max_indegree,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,5,gumbel,14,1062157,20,20,20,0,0,5,0.0,False,1.0
10,5,gumbel,15,1062158,19,14,14,5,0,4,0.0,False,1.0
10,5,gumbel,16,1062159,23,20,20,3,0,4,0.0,False,1.0
10,5,gumbel,17,1062160,22,20,20,2,0,6,0.0,False,1.0
10,5,gumbel,18,1062161,17,16,16,1,0,4,0.0,False,1.0
10,5,gumbel,19,1062162,18,18,18,0,0,7,0.0,False,1.0
20,2,normal,0,2032123,38,38,38,0,0,6,0.0,False,1.0
20,2,normal,1,2032124,39,39,39,0,0,5,0.0,False,1.0
20,2,normal,2,2032125,37,37,37,0,0,6,0.0,False,1.0
20,2,normal,3,2032126,38,38,38,0,0,6,0.0,False,1.0
20,2,normal,4,2032127,39,39,39,0,0,7,0.0,False,1.0
20,2,normal,5,2032128,39,39,39,0,0,5,0.0,False,1.0
20,2,normal,6,2032129,39,39,39,0,0,7,0.0,False,1.0
20,2,normal,7,2032130,39,39,39,0,0,5,0.0,False,1.0
20,2,normal,8,2032131,40,40,40,0,0,6,0.0,False,1.0
20,2,normal,9,2032132,38,38,38,0,0,5,0.0,False,1.0
20,2,normal,10,2032133,35,35,35,0,0,5,0.0,False,1.0
20,2,normal,11,2032134,39,39,39,0,0,6,0.0,False,1.0
20,2,normal,12,2032135,39,39,39,0,0,6,0.0,False,1.0
20,2,normal,13,2032136,39,39,39,0,0,6,0.0,False,1.0
20,2,normal,14,2032137,38,34,34,4,0,5,0.0,False,1.0
20,2,normal,15,2032138,40,40,40,0,0,7,0.0,False,1.0
20,2,normal,16,2032139,39,39,39,0,0,5,0.0,False,1.0
20,2,normal,17,2032140,37,37,37,0,0,5,0.0,False,1.0
20,2,normal,18,2032141,36,36,36,0,0,7,0.0,False,1.0
20,2,normal,19,2032142,41,40,40,1,0,8,0.0,False,1.0
20,2,exponential,0,2032133,36,36,36,0,0,5,0.0,False,1.0
20,2,exponential,1,2032134,40,40,40,0,0,6,0.0,False,1.0
20,2,exponential,2,2032135,38,38,38,0,0,6,0.0,False,1.0
20,2,exponential,3,2032136,40,40,40,0,0,6,0.0,False,1.0
20,2,exponential,4,2032137,37,37,37,0,0,5,0.0,False,1.0
20,2,exponential,5,2032138,40,40,40,0,0,7,0.0,False,1.0
20,2,exponential,6,2032139,39,39,39,0,0,5,0.0,False,1.0
20,2,exponential,7,2032140,38,38,38,0,0,6,0.0,False,1.0
20,2,exponential,8,2032141,39,39,39,0,0,7,0.0,False,1.0
20,2,exponential,9,2032142,40,40,40,0,0,7,0.0,False,1.0
20,2,exponential,10,2032143,39,39,39,0,0,4,0.0,False,1.0
20,2,exponential,11,2032144,39,39,39,0,0,4,0.0,False,1.0
20,2,exponential,12,2032145,35,35,35,0,0,5,0.0,False,1.0
20,2,exponential,13,2032146,39,39,39,0,0,6,0.0,False,1.0
20,2,exponential,14,2032147,40,40,40,0,0,5,0.0,False,1.0
20,2,exponential,15,2032148,40,40,40,0,0,4,0.0,False,1.0
20,2,exponential,16,2032149,37,37,37,0,0,6,0.0,False,1.0
20,2,exponential,17,2032150,39,39,39,0,0,6,0.0,False,1.0
20,2,exponential,18,2032151,40,40,40,0,0,5,0.0,False,1.0
20,2,exponential,19,2032152,37,37,37,0,0,5,0.0,False,1.0
20,2,gumbel,0,2032143,39,39,39,0,0,4,0.0,False,1.0
20,2,gumbel,1,2032144,39,39,39,0,0,4,0.0,False,1.0
20,2,gumbel,2,2032145,37,37,37,0,0,5,0.0,False,1.0
20,2,gumbel,3,2032146,38,38,38,0,0,6,0.0,False,1.0
20,2,gumbel,4,2032147,40,40,40,0,0,5,0.0,False,1.0
20,2,gumbel,5,2032148,40,40,40,0,0,4,0.0,False,1.0
20,2,gumbel,6,2032149,39,39,39,0,0,6,0.0,False,1.0
20,2,gumbel,7,2032150,40,39,39,1,0,6,0.0,False,1.0
20,2,gumbel,8,2032151,39,39,39,0,0,5,0.0,False,1.0
20,2,gumbel,9,2032152,38,38,38,0,0,5,0.0,False,1.0
20,2,gumbel,10,2032153,36,36,36,0,0,4,0.0,False,1.0
20,2,gumbel,11,2032154,38,38,38,0,0,7,0.0,False,1.0
20,2,gumbel,12,2032155,40,40,40,0,0,6,0.0,False,1.0
20,2,gumbel,13,2032156,40,40,40,0,0,8,0.0,False,1.0
20,2,gumbel,14,2032157,37,37,37,0,0,6,0.0,False,1.0
20,2,gumbel,15,2032158,38,38,38,0,0,4,0.0,False,1.0
20,2,gumbel,16,2032159,38,38,38,0,0,6,0.0,False,1.0
20,2,gumbel,17,2032160,40,39,39,1,0,7,0.0,False,1.0
20,2,gumbel,18,2032161,32,32,32,0,0,5,0.0,False,1.0
20,2,gumbel,19,2032162,36,36,36,0,0,4,0.0,False,1.0
20,5,normal,0,2062123,48,40,40,8,0,7,0.0,False,1.0
20,5,normal,1,2062124,42,35,35,6,1,8,0.0,False,1.0
20,5,normal,2,2062125,46,42,42,4,0,6,0.0,False,1.0
20,5,normal,3,2062126,39,34,34,5,0,6,0.0,False,1.0
20,5,normal,4,2062127,44,36,38,8,0,5,0.5668011929601562,True,0.9473684210526315
20,5,normal,5,2062128,46,39,39,7,0,6,0.0,False,1.0
20,5,normal,6,2062129,45,38,38,6,1,8,0.0,False,1.0
20,5,normal,7,2062130,60,38,40,22,0,8,2.453954397384223,True,0.95
20,5,normal,8,2062131,40,37,37,3,0,7,0.0,False,1.0
20,5,normal,9,2062132,42,39,39,3,0,9,0.0,False,1.0
20,5,normal,10,2062133,47,35,35,12,0,7,0.0,False,1.0
20,5,normal,11,2062134,37,30,30,6,1,6,0.0,False,1.0
20,5,normal,12,2062135,55,33,33,22,0,9,0.0,False,1.0
20,5,normal,13,2062136,55,40,40,15,0,8,0.0,False,1.0
20,5,normal,14,2062137,46,38,38,7,1,5,0.0,False,1.0
20,5,normal,15,2062138,80,47,48,33,0,9,5.1178026201978355,True,0.9
20,5,normal,16,2062139,42,33,33,8,1,6,0.0,False,1.0
20,5,normal,17,2062140,36,33,33,3,0,6,0.0,False,1.0
20,5,normal,18,2062141,45,35,35,10,0,7,0.0,False,1.0
20,5,normal,19,2062142,49,33,33,12,4,7,0.0,False,1.0
20,5,exponential,0,2062133,44,37,37,7,0,7,0.0,False,1.0
20,5,exponential,1,2062134,38,32,32,5,1,5,0.0,False,1.0
20,5,exponential,2,2062135,48,32,32,16,0,7,0.7335360353954457,True,0.9393939393939394
20,5,exponential,3,2062136,62,40,40,22,0,10,0.0,False,1.0
20,5,exponential,4,2062137,42,34,34,7,1,5,0.0,False,1.0
20,5,exponential,5,2062138,80,49,49,31,0,8,0.0,False,1.0
