method,setting,rep,seed,d,n,name,true_edges,true_max_indegree,candidate_max_indegree,false_positive_ratio,missing_ratio,reversal_ratio,weak_fraction,error_regime,missing_achieved,reversals_achieved,false_positive_additions_achieved,varsortability,error_scale_ratio,candidate_edges,candidate_max_indegree_achieved,candidate_enumeration_fits,initial_pruning_pressure,candidate_bic,exact_bic,greedy_bic,candidate_to_exact_bic_improvement,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard,exact_greedy_disagreement_edges,exact_runtime_seconds,greedy_runtime_seconds,exact_score_evaluations,greedy_score_evaluations,edges,true_positives,false_positives,false_negatives,reversals,fdr,tpr,shd
Greedy local BIC,clean_sparse,3,48151626,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,56,0.0,79.76743423198631,79.76743423198631,79.76743423198631,0.0,0.0,False,1.0,0,0.009191200020723045,0.010641300003044307,56,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,4,48151627,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9512195121951219,1.0,20,3,53,0.0,132.8537016311304,132.8537016311304,132.8537016311304,0.0,0.0,False,1.0,0,0.008958199992775917,0.011110899969935417,53,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,4,48151627,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9512195121951219,1.0,20,3,53,0.0,132.8537016311304,132.8537016311304,132.8537016311304,0.0,0.0,False,1.0,0,0.008958199992775917,0.011110899969935417,53,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,4,48151627,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9512195121951219,1.0,20,3,53,0.0,132.8537016311304,132.8537016311304,132.8537016311304,0.0,0.0,False,1.0,0,0.008958199992775917,0.011110899969935417,53,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,5,48151628,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.967741935483871,1.0,20,3,50,0.0,196.10350992104077,196.10350992104077,196.10350992104077,0.0,0.0,False,1.0,0,0.00889539998024702,0.011190299992449582,50,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,5,48151628,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.967741935483871,1.0,20,3,50,0.0,196.10350992104077,196.10350992104077,196.10350992104077,0.0,0.0,False,1.0,0,0.00889539998024702,0.011190299992449582,50,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,5,48151628,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.967741935483871,1.0,20,3,50,0.0,196.10350992104077,196.10350992104077,196.10350992104077,0.0,0.0,False,1.0,0,0.00889539998024702,0.011190299992449582,50,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,6,48151629,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,56,0.0,50.74548796269515,50.74548796269515,50.74548796269515,0.0,0.0,False,1.0,0,0.008696499979123473,0.010649800067767501,56,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,6,48151629,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,56,0.0,50.74548796269515,50.74548796269515,50.74548796269515,0.0,0.0,False,1.0,0,0.008696499979123473,0.010649800067767501,56,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,6,48151629,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,56,0.0,50.74548796269515,50.74548796269515,50.74548796269515,0.0,0.0,False,1.0,0,0.008696499979123473,0.010649800067767501,56,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,7,48151630,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9666666666666667,1.0,20,3,49,0.0,322.06065219256385,322.06065219256385,322.06065219256385,0.0,0.0,False,1.0,0,0.008482999983243644,0.010857600020244718,49,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,7,48151630,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9666666666666667,1.0,20,3,49,0.0,322.06065219256385,322.06065219256385,322.06065219256385,0.0,0.0,False,1.0,0,0.008482999983243644,0.010857600020244718,49,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,7,48151630,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9666666666666667,1.0,20,3,49,0.0,322.06065219256385,322.06065219256385,322.06065219256385,0.0,0.0,False,1.0,0,0.008482999983243644,0.010857600020244718,49,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,8,48151631,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.918918918918919,1.0,20,3,53,0.0,281.14167291739426,281.14167291739426,281.14167291739426,0.0,0.0,False,1.0,0,0.008720100042410195,0.011451099999248981,53,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,8,48151631,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.918918918918919,1.0,20,3,53,0.0,281.14167291739426,281.14167291739426,281.14167291739426,0.0,0.0,False,1.0,0,0.008720100042410195,0.011451099999248981,53,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,8,48151631,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.918918918918919,1.0,20,3,53,0.0,281.14167291739426,281.14167291739426,281.14167291739426,0.0,0.0,False,1.0,0,0.008720100042410195,0.011451099999248981,53,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,9,48151632,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9714285714285714,1.0,20,3,52,0.0,303.93838664677895,303.93838664677895,303.93838664677895,0.0,0.0,False,1.0,0,0.008739499957300723,0.010431700036861002,52,40,20,20,0,0,0,0.0,1.0,0
