abs_r,r,var1,var2
0.18047314029071107,-0.18047314029071107,pregnant_105days_rate,Lactation_days
0.17888673874861127,-0.17888673874861127,abortions_rate,pregnant_105days_rate
0.17760177446099232,-0.17760177446099232,productive_days_rate,Lactation_days
0.17752870227974527,0.17752870227974527,nonproductive_days,Lactation_days
0.17596489494548848,-0.17596489494548848,gilts_bred_rate,HeadIn
0.17489381600521214,0.17489381600521214,services_per_inventory_N_rate,Last_week_wean_bred_rate
0.1744521668792053,-0.1744521668792053,Total_born_avg,mortality_60days
0.17378495496950438,0.17378495496950438,wean_to_service,mortality_60days
0.1733322986805251,0.1733322986805251,Total_born_avg,Stillborn_avg
0.1730877534975921,0.1730877534975921,Stillborn_avg,avg_parity_at_farrow
0.1725475553925556,0.1725475553925556,mated_inventory_20wks,pregnant_105days_rate
0.17245793191444783,0.17245793191444783,Interval_farrows,repeats__rate
0.17140246018432675,-0.17140246018432675,Stillborn_avg,gilts_bred_rate
0.17005404166483049,0.17005404166483049,Interval_farrows,pregnant_105days_rate
0.16837819615937208,0.16837819615937208,avg_parity_at_farrow,Farrowing__rate
0.1672867305036905,0.1672867305036905,nonproductive_days,Sow_Death_rate
0.16726390837657104,-0.16726390837657104,productive_days_rate,Sow_Death_rate
0.166704407358786,0.166704407358786,Total_born_avg,prenatal_losses_avg
0.1655273422041616,-0.1655273422041616,Mummies_avg,PWSow
0.16489486206575132,0.16489486206575132,mated_inventory_20wks,Stillborn_avg
0.16060387882452545,0.16060387882452545,Total_born_avg,pregnant_105days_rate
0.1601579144052534,0.1601579144052534,wean_to_service,prenatal_losses_avg
0.15999936494241485,-0.15999936494241485,Total_born_avg,gilts_bred_rate
0.15892715768192212,-0.15892715768192212,Total_born_avg,repeats__rate
0.15805633566352492,-0.15805633566352492,prenatal_losses_avg,Last_week_wean_bred_rate
0.1577473131356432,0.1577473131356432,Stillborn_avg,mortality_60days
0.15604689075944472,0.15604689075944472,mated_inventory_20wks,Farrowing__rate
0.15467384838746115,0.15467384838746115,abortions_rate,prenatal_losses_avg
0.15394110495229274,0.15394110495229274,Born_alive_avg,Last_week_wean_bred_rate
0.15315952659234014,0.15315952659234014,Avg_parity_farrow,Last_week_wean_bred_rate
0.15250385609670583,-0.15250385609670583,Lactation_days,final_inventory
0.15120513970601532,-0.15120513970601532,Sow_Death_rate,Farrowing__rate
0.15104142240079377,0.15104142240079377,Sow_Death_rate,Lactation_days
0.15103709404874854,-0.15103709404874854,Born_alive_avg,Lactation_days
0.15024950716873436,0.15024950716873436,pregnant_105days_rate,final_inventory
0.14858683656498972,-0.14858683656498972,mated_inventory_20wks,services_per_inventory_N_rate
0.14683539053806832,0.14683539053806832,Mummies_avg,gilts_bred_rate
0.1464251156759133,0.1464251156759133,Interval_farrows,Last_week_wean_bred_rate
0.14636998938602777,-0.14636998938602777,prenatal_losses_avg,pregnant_105days_rate
0.1460282870112646,-0.1460282870112646,Last_week_wean_bred_rate,Cull_rate_annual
0.14568210138812324,0.14568210138812324,number_services,Stillborn_avg
0.1452743983388562,-0.1452743983388562,nonproductive_days,avg_parity_at_farrow
0.1452474301395062,0.1452474301395062,productive_days_rate,avg_parity_at_farrow
0.1451964184820373,0.1451964184820373,Stillborn_avg,final_inventory
0.1451259748191889,0.1451259748191889,abortions_rate,Mummies_avg
0.14354101117830564,0.14354101117830564,Gestation_days,Interval_farrows
0.14302569854240102,0.14302569854240102,Born_alive_avg,final_inventory
0.14263782410649928,0.14263782410649928,prenatal_losses_avg,Lactation_days
0.14039652691064972,0.14039652691064972,nonproductive_days,services_per_inventory_N_rate
0.14037345859204953,-0.14037345859204953,productive_days_rate,services_per_inventory_N_rate
0.13968359424685267,0.13968359424685267,mated_inventory_20wks,Born_alive_avg
0.13494917779368196,0.13494917779368196,final_inventory,Farrowing__rate
0.13241268820340069,0.13241268820340069,pregnant_105days_rate,avg_parity_at_farrow
0.1312238773432868,0.1312238773432868,abortions_rate,repeats__rate
0.13102660999934135,-0.13102660999934135,repeats__rate,Cull_rate_annual
0.1295653207848796,-0.1295653207848796,wean_to_service,avg_parity_at_farrow
0.12886286429167088,-0.12886286429167088,mated_inventory_20wks,Lactation_days
0.1287535640530212,0.1287535640530212,Avg_parity_farrow,Farrowing__rate
0.1284506172662925,-0.1284506172662925,wean_to_service,PWSow
0.12813054628496845,-0.12813054628496845,abortions_rate,final_inventory
0.12772088111646493,0.12772088111646493,nonproductive_days,prenatal_losses_avg
0.12770186222010668,-0.12770186222010668,prenatal_losses_avg,productive_days_rate
0.12736828564621036,0.12736828564621036,Total_born_avg,PWSow
0.12711339881266046,0.12711339881266046,number_services,pregnant_105days_rate
0.12698734090394184,-0.12698734090394184,repeats__rate,Last_week_wean_bred_rate
0.1262806737204704,0.1262806737204704,number_services,Last_week_wean_bred_rate
0.12594030496124173,0.12594030496124173,number_services,Born_alive_avg
0.12496152146815308,-0.12496152146815308,Born_alive_avg,gilts_bred_rate
0.12446699837276154,-0.12446699837276154,repeats__rate,final_inventory
0.12439663763698253,-0.12439663763698253,abortions_rate,Total_born_avg
0.12292362625840801,-0.12292362625840801,PWMFyear,avg_parity_at_farrow
0.12273921727469198,-0.12273921727469198,Total_born_avg,Mummies_avg
0.12209401084484386,-0.12209401084484386,number_services,abortions_rate
